issu,act,ctxt,key,summ,area,date
Constitutional development,,Council Motion,34658,"Hon Emily LAU moved a motion on ""Political reform"" for debate in the Council.  The motion was carried. [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000112fe.pdf"" target=""_blank"">Hansard</a> ""page 93""]",Constitutional Affairs,12.1.00
Constitutional development,,Council Meeting,34659,"The Chief Executive (CE) made a statement on the executive-legislature relationship at the Question and Answer Session held in the Council. [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000113fe.pdf"" target=""_blank"">Hansard</a> ""page 7""]",Constitutional Affairs,13.1.00
Constitutional development,,Constitutional Affairs Panel,34660,"The Panel discussed how to follow up on Hon Emily LAU's motion passed by the Council on 12.1.00, and made the following decisions -
<table>
<tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">The Panel would conduct a public consultation on the development of the Hong Kong Special Administrative Region's (HKSAR) political system and present a report to the Council;
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">The Research and Library Services Division (RLSD) of the LegCo Secretariat would conduct a research study on systems of government in some foreign countries; and
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">A motion debate on the subject would be held before the end of the current legislative session.</td></tr></table>",Constitutional Affairs,17.1.00
Constitutional development,,Constitutional Affairs Panel,34661,"The Panel met with academics and deputations, and considered written submissions on the development of HKSAR's political system.
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca210200.pdf"" target=""_blank"">Minutes of meeting on 21.2.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca040300.pdf"" target=""_blank"">Minutes of meeting on 4.3.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca200300.pdf"" target=""_blank"">Minutes of meeting on 20.3.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca010400.pdf"" target=""_blank"">Minutes of meeting on 1.4.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca080400.pdf"" target=""_blank"">Minutes of meeting on 8.4.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca170400.pdf"" target=""_blank"">Minutes of meeting on 17.4.00</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/minutes/ca080500.pdf"" target=""_blank"">Minutes of meeting on 8.5.00</a>] 
<br /><br />The Panel also considered the research reports prepared by RLSD on the system of government in overseas countries.
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp08.pdf"" target=""_blank"">Report on France</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp05.pdf"" target=""_blank"">Report on Germany</a>]  
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp07.pdf"" target=""_blank"">Report on Japan</a>]  
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp04.pdf"" target=""_blank"">Report on New Zealand</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp03.pdf"" target=""_blank"">Report on Singapore</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp06.pdf"" target=""_blank"">Report on United Kingdom</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp09.pdf"" target=""_blank"">Report on United States</a>] 
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/990rp10.pdf"" target=""_blank"">Overall comparison table of seven countries</a>] 
<br /><br />The Panel prepared the ""Report on the Development of the Political System of the Hong Kong Special Administrative Region"". [<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/reports/ca-rep_1.pdf"" target=""_blank"">Report</a>]",Constitutional Affairs,2/00 to 6/00
Constitutional development,,Council Meeting,34662,"Dr Hon LEONG Che-hung moved a motion on the ""Development of the Hong Kong Special Administrative Region's Political System"" for debate in the Council.  The motion was carried. [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000614fe.pdf"" target=""_blank"">Hansard</a> ""page 165""]",Constitutional Affairs,14.6.00
Constitutional development,,Constitutional Affairs Panel,34663,"The Panel discussed the recommendations of the ""Report on the development of the political development of the Hong Kong Special Administrative Region"" with the Administration and academics. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b1763e05.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b1767e01.pdf"" target=""_blank"">Background brief prepared by the Secretariat</a>]",Constitutional Affairs,12.6.01
Constitutional development,,Council Question,34664,"Hon Martin LEE raised a question on ""Improvement on method of forming the Legislative Council"".  [<a href=""http://www.legco.gov.hk/yr00-01/english/counmtg/hansard/010613fe.pdf"" target=""_blank"">Hansard</a> ""page 30""]",Constitutional Affairs,13.6.01
Constitutional development,,Constitutional Affairs Panel,34665,The Panel received views on the development of HKSAR's political system from academics and representatives from non-government organizations.,Constitutional Affairs,9.7.01
Constitutional development,,Council Motion,34666,"Hon Emily LAU moved a motion on ""The Second Chief Executive Election"". The motion was negatived. [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0314ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 5""]",Constitutional Affairs,14.3.02
Constitutional development,,Council Question,34667,"Hon Emily LAU raised a question on ""Arrangements for the Legislative Council Functional Constituencies Elections"". [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1113ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 51""]",Constitutional Affairs,13.11.02
