issu,act,ctxt,key,summ,area,date
Electoral matters,,Council Question,34844,"Hon CHOY SO-YUK raised a question on ""1998 Legislative Council (LegCo) election"". [<a href=""http://www.legco.gov.hk/yr97-98/english/counmtg/hansard/970910fe.htm"" target=""_blank"">Hansard</a>]",Constitutional Affairs,10.9.97
Electoral matters,,Finance Committee,34845,"FC approved the financial commitment to enhance the Electoral and Registration System (EARS) in order to cope with the new electoral arrangements. [<a href=""http://www.legco.gov.hk/yr97-98/english/fc/fc/papers/f97-46e.doc"" target=""_blank"">Paper</a>]",Constitutional Affairs,31.10.97
Electoral matters,,Council Question,34846,"Hon CHOY SO-YUK raised a question on ""Adoption of electronic voting system in the 1998 elections"". [<a href=""http://www.legco.gov.hk/yr97-98/english/counmtg/hansard/971105fe.doc"" target=""_blank"">Hansard</a> ""page 7""]",Constitutional Affairs,5.11.97
Electoral matters,,Constitutional Affairs Panel,34847,"The Panel discussed the voter registration drive for the 1998 LegCo election. [<a href=""http://www.legco.gov.hk/yr97-98/english/panels/ca/papers/ca0711-2.htm"" target=""_blank"">Paper</a>]",Constitutional Affairs,7.11.97
Electoral matters,,Constitutional Affairs Panel,34848,"The Panel discussed the election expense limits for the 1998 LegCo election. [<a href=""http://www.legco.gov.hk/yr97-98/english/panels/ca/papers/ca2511-1.htm"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the subscribers and election deposit required for nomination for the 1998 LegCo election. [<a href=""http://www.legco.gov.hk/yr97-98/english/panels/ca/papers/ca2511-2.htm"" target=""_blank"">Paper</a>]",Constitutional Affairs,25.11.97
Electoral matters,,Constitutional Affairs Panel,34849,"The Panel was briefed on the progress of the 1998 voter registration campaign. [<a href=""http://www.legco.gov.hk/yr97-98/english/panels/ca/papers/ca0901-3.htm"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the Proposed Guidelines on Election-related Activities in respect of the LegCo General Election issued by the Electoral Affairs Commission (EAC).",Constitutional Affairs,9.1.98
Electoral matters,,Council Question,34850,"Hon WONG SIU-YEE raised a question on ""Media coverage of LegCo elections"". [<a href=""http://www.legco.gov.hk/yr97-98/english/counmtg/hansard/980121fe.doc"" target=""_blank"">Hansard</a> ""page 33""]",Constitutional Affairs,21.1.98
Electoral matters,,Constitutional Affairs Panel,34851,"The Panel discussed the publicity strategy to promote the 1998 LegCo election. [<a href=""http://www.legco.gov.hk/yr97-98/english/panels/ca/papers/ca0602-2.htm"" target=""_blank"">Paper</a>]",Constitutional Affairs,6.2.98
Electoral matters,,Constitutional Affairs Panel,34852,"The Panel discussed and reviewed the electoral arrangements for the 1998 LegCo election. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/ca2007_3.htm"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/p285e05.pdf"" target=""_blank"">Paper 2</a>]",Constitutional Affairs,20.7.98
Electoral matters,,Constitutional Affairs Panel,34853,"The Panel discussed the preliminary proposal for the electoral arrangements for the 2000 LegCo election. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/p889e02.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.12.98
Electoral matters,,Council Question,34854,"Hon Cyd HO raised a question on ""Election of village representatives in the New Territories"". [<a href=""http://www.legco.gov.hk/yr98-99/english/counmtg/hansard/990331fe.htm"" target=""_blank"">Hansard</a>]",Constitutional Affairs,31.3.99
Electoral matters,,Council Question,34855,"Hon Andrew CHENG raised a question on ""Rules on qualifications of New Territories village representative elections"". [<a href=""http://www.legco.gov.hk/yr98-99/english/counmtg/hansard/990331fe.htm"" target=""_blank"">Hansard</a>]",Constitutional Affairs,31.3.99
Electoral matters,,Constitutional Affairs Panel,34856,"The Panel discussed the Proposed Guidelines on Election-related Activities in respect of the District Council (DC) Election issued by EAC. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/p1705e02.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the election expense limits for the 1999 DC election. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/p1705e03.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the subscribers and election deposit required for nomination for the 1999 DC election. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/p1705e04.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.4.99
Electoral matters,,Council Question,34857,"Hon SZETO Wah raised a question on ""Village representative elections"". [<a href=""http://www.legco.gov.hk/yr98-99/english/counmtg/hansard/990421fe.htm"" target=""_blank"">Hansard</a>]",Constitutional Affairs,21.4.99
Electoral matters,,Finance Committee,34858,"FC approved a new commitment of $25,521,000 for enhancing EARS to provide adequate support for the first DC election and the second LegCo election. [<a href=""http://www.legco.gov.hk/yr98-99/english/fc/fc/papers/fc230403.htm"" target=""_blank"">Paper</a>]",Constitutional Affairs,23.4.99
Electoral matters,,Constitutional Affairs Panel,34859,"The Panel discussed the publicity strategy to promote the 1999 DC election. [<a href=""http://www.legco.gov.hk/yr98-99/english/panels/ca/papers/ca2106_4.htm"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.6.99
