issu,act,ctxt,key,summ,area,date
Press freedom,,Home Affairs Panel,35378,"The Panel discussed the Consultation Paper of the Hong Kong Press Council on qualified libel privilege with deputations and the Administration. [<a href=""http://www.legco.gov.hk/yr01-02/chinese/panels/ha/papers/ha1214cb2-667-4c.pdf"" target=""_blank"">Paper provided by the Press Council</a>] (Chinese version only)[<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ha/papers/ha1214cb2-667-6e.pdf"" target=""_blank"">Background brief prepared by the Legislative Council Secretariat</a>]",Constitutional Affairs,14.12.01
Press freedom,,Home Affairs Panel,35379,"The Panel discussed the protection of press freedom of the police's guidelines on media coverage with deputations and the Administration.  [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ha/papers/ha0712cb2-2549-6e.pdf"" target=""_blank"">Administration's paper 1</a>][<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ha/papers/ha0717cb2-1666-1e.pdf"" target=""_blank"">Administration's paper 2</a>]",Constitutional Affairs,17.7.02
Press freedom,,Home Affairs Panel,35380,"The Panel discussed the protection of freedom of speech. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ha/papers/ha0527cb2-2843-1e.pdf"" target=""_blank"">Administration's paper</a>]",Constitutional Affairs,27.5.04
Press freedom,,Council Motion,35381,"Hon Albert CHAN moved a motion on ""Urging the Government to Defend Freedom of the Press and Freedom of Speech"" for debate in the Council.  The motion was passed.  [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0602ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 94""]",Constitutional Affairs,2.6.04
Press freedom,,Council Question,35382,"Hon Emily LAU raised a question on ""Application for Warrants by Law Enforcement Departments to Search News Agencies"".  [<a href=""http://www.legco.gov.hk/yr04-05/english/counmtg/hansard/cm1027ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 75""]",Constitutional Affairs,27.10.04
Press freedom,,Council Motion,35383,"Hon Emily LAU moved a motion on ""Defending Freedom of the Press"" for debate in the Council.  The motion was negatived.  [<a href=""http://www.legco.gov.hk/yr09-10/english/counmtg/hansard/cm1021-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 214""]",Constitutional Affairs,21.10.09
Press freedom,,Council Question,35384,"Hon Emily LAU raised a question on ""Protecting Hong Kong Journalists' Freedom of Press on the Mainland"".  [<a href=""http://www.legco.gov.hk/yr10-11/english/counmtg/hansard/cm0112-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 52""]",Constitutional Affairs,12.1.11
Press freedom,,Council Motion,35385,"Hon Cyd HO moved a motion on ""Safeguarding Freedom of the Press and the Right to Expression"" for debate in the Council.  The motion was passed.  [<a href=""http://www.legco.gov.hk/yr10-11/english/counmtg/hansard/cm0525-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 140""]<br /><br />[<a href=""http://www.legco.gov.hk/yr10-11/english/counmtg/motion/cm0525-m1-prpt-e.pdf"" target=""_blank"">Progress report from the Administration</a>]",Constitutional Affairs,25.5.11
Press freedom,,Council Motion,35386,"Hon Emily LAU moved a motion on ""Defending Freedom of the Press"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr11-12/english/counmtg/hansard/cm1123-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 198""]",Constitutional Affairs,23.11.11
Press freedom,,Council Question,35387,"Hon Audrey EU raised a question on ""Allegations Relating to Undue Influence of Representative Organ of Central People's Government"". [<a href=""http://www.legco.gov.hk/yr11-12/english/counmtg/hansard/cm0418-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 18""]",Constitutional Affairs,18.4.12
